,0
0,0.0
1,0.0
2,0.0
3,0.11574257
4,0.07883395
5,0.123195894
6,0.0
7,0.0
8,0.0
9,0.2428566
10,0.29807866
11,0.0
12,0.39282548
13,0.0
14,0.56630325
15,0.0
16,0.0
17,0.3014258
18,0.0
19,0.0
20,0.1019349
21,0.0
22,0.0
23,0.13293335
24,0.0
25,0.26813895
26,0.17573237
27,0.14811511
28,0.0
29,0.36425763
30,0.684509
31,0.032825306
32,0.74511397
33,0.09383319
34,0.0
35,0.6932267
36,0.0
37,0.0
38,0.0
39,0.17110796
40,0.28987986
41,0.27722377
42,0.0
43,0.0
44,0.0
45,0.13196519
46,0.0
47,0.0
48,0.058295656
49,0.25838372
50,0.0
51,0.26831022
52,0.52997416
53,0.0
54,0.14396591
55,0.2031871
56,0.0
57,0.20050314
58,0.22269247
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.7473715
65,0.07803287
66,0.0
67,0.11716179
68,0.0
69,0.6376468
70,0.39293104
71,0.9084537
72,0.0
73,0.2106623
74,0.0
75,0.0
76,0.0
77,0.0
78,0.08355337
79,0.0
80,0.22637677
81,0.0
82,0.86538243
83,0.0
84,0.3551636
85,0.0
86,0.038485885
87,0.2376312
88,0.0
89,0.0
90,0.09663058
91,0.0
92,0.2676475
93,0.0
94,0.0
95,0.654588
96,0.034755137
97,0.043426737
98,0.17169984
99,0.07397505
100,0.1570128
101,0.2577828
102,0.2602652
103,0.0
104,0.65221775
105,0.59975207
106,0.0
107,0.2229243
108,0.4446156
109,0.0
110,0.47006506
111,0.0
112,0.0
113,0.307428
114,0.44979972
115,0.0
116,0.13156986
117,0.0
118,0.43509442
119,0.0
120,0.39157656
121,0.93333733
122,0.39816213
123,0.058712382
124,0.7391039
125,0.0
126,0.0
127,0.42881384
128,0.0
129,0.7626751
130,0.0
131,0.0
132,1.0778899
133,0.0
134,0.16040172
135,0.5315115
136,0.08678213
137,0.0
138,0.54108274
139,0.36394554
140,0.18661503
141,0.0
142,0.0
143,0.62612253
144,0.38357562
145,0.0
146,0.0
147,0.28332233
148,0.0
149,0.0
150,0.0
151,0.58547634
152,0.0
153,0.1784311
154,0.0
155,0.0
156,0.09520628
157,0.043984342
158,0.16992685
159,0.0
160,0.0
161,0.6658437
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.25821918
168,0.6775594
169,0.0
170,0.0
171,0.0
172,0.09469267
173,0.0
174,0.0
175,0.0
176,0.03063748
177,0.05665956
178,0.0
179,0.18543428
180,0.41920188
181,0.0
182,0.13290946
183,0.0
184,0.7431364
185,0.0
186,0.0
187,0.23409541
188,0.34700856
189,0.0
190,0.0
191,0.5412903
192,0.32883242
193,0.5041229
194,0.15321738
195,0.0
196,0.0
197,0.0
198,0.0
199,0.090578966
200,0.0
201,0.0
202,0.011316012
203,1.099549
204,0.7486749
205,0.085608765
206,0.15951636
207,0.33789992
208,0.0
209,0.0
210,0.0
211,0.0
212,0.30990905
213,0.0
214,0.0
215,0.5868526
216,0.0
217,0.27731562
218,0.45621675
219,0.8627786
220,0.63577515
221,0.0
222,0.0
223,0.09174239
224,0.0
225,0.0
226,0.055389848
227,0.0
228,0.10596548
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.5683283
238,0.27306768
239,0.0
240,0.0
241,0.0
242,0.0
243,1.2476901
244,0.30675
245,0.0
246,0.0
247,0.0
248,0.7385265
249,0.7468612
250,0.40820262
251,0.44056123
252,0.5560855
253,0.09013228
254,0.09209294
255,0.0
256,0.6336858
257,0.6258439
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.4154501
266,0.0
267,0.0
268,0.0
269,0.0
270,0.6977067
271,0.12054019
272,0.037433743
273,0.47687426
274,0.18808287
275,0.0
276,0.69563514
277,0.45325926
278,0.09418486
279,0.0
280,0.0
281,0.0
282,0.0
283,0.38023674
284,0.35315472
285,1.0874895
286,0.0
287,0.105236255
288,0.0
289,0.008044208
290,0.2569716
291,0.24793579
292,0.7532563
293,0.38318914
294,0.14166996
295,0.0
296,0.38290423
297,0.1577647
298,0.0
299,0.436626
300,0.0
301,0.0
302,0.735001
303,0.0
304,0.11317619
305,0.0
306,0.0
307,0.0
308,0.0
309,0.3238856
310,0.0
311,0.17568946
312,0.0
313,0.07354058
314,0.0
315,0.15664996
316,0.66691214
317,0.0
318,0.13429871
319,0.2700605
320,0.0
321,0.24555154
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.08479897
330,0.2255342
331,0.20104639
332,0.48693764
333,0.055082303
334,0.0
335,0.0
336,0.7216873
337,0.4713832
338,0.0
339,0.0
340,0.0
341,0.0
342,0.026771706
343,0.0
344,0.70977145
345,0.772618
346,0.11153629
347,0.5349694
348,0.010303541
349,0.0
350,0.15807594
351,0.0
352,0.1826135
353,0.6124059
354,0.08370231
355,0.0
356,0.0
357,0.10810477
358,0.0
359,0.0
360,0.81626177
361,0.0
362,0.0
363,0.0
364,0.0
365,0.09916586
366,0.0
367,0.07138621
368,0.13136475
369,0.0
370,0.74005884
371,0.21672001
372,0.0
373,0.0
374,0.24697943
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.57470113
381,1.336042
382,0.0
383,0.0025836476
384,0.0
385,0.4452626
386,0.60577387
387,0.0
388,0.13763398
389,0.0866043
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.38466665
396,0.0
397,0.001818707
398,0.13353018
399,0.13505782
400,0.6275439
