,0,1
0,0.0,0.0
1,0.0,0.011111111
2,0.0,0.022222223
3,0.0,0.033333335
4,0.0,0.044444446
5,0.0,0.055555556
6,0.0,0.06666667
7,0.0,0.07777778
8,0.0,0.08888889
9,0.0,0.1
10,0.0,0.11111111
11,0.0,0.12222222
12,0.0,0.13333334
13,0.0,0.14444445
14,0.0,0.15555556
15,0.0,0.16666667
16,0.0,0.17777778
17,0.0,0.18888889
18,0.0,0.2
19,0.0,0.21111111
20,0.0,0.22222222
21,0.0,0.23333333
22,0.0,0.24444444
23,0.0,0.25555557
24,0.0,0.26666668
25,0.0,0.2777778
26,0.0,0.2888889
27,0.0,0.3
28,0.0,0.31111112
29,0.0,0.32222223
30,0.0,0.33333334
31,0.0,0.34444445
32,0.0,0.35555556
33,0.0,0.36666667
34,0.0,0.37777779
35,0.0,0.3888889
36,0.0,0.4
37,0.0,0.41111112
38,0.0,0.42222223
39,0.0,0.43333334
40,0.0,0.44444445
41,0.0,0.45555556
42,0.0,0.46666667
43,0.0,0.47777778
44,0.0,0.4888889
45,0.0,0.5
46,0.0,0.51111114
47,0.0,0.5222222
48,0.0,0.53333336
49,0.0,0.54444444
50,0.0,0.5555556
51,0.0,0.56666666
52,0.0,0.5777778
53,0.0,0.5888889
54,0.0,0.6
55,0.0,0.6111111
56,0.0,0.62222224
57,0.0,0.6333333
58,0.0,0.64444447
59,0.0,0.65555555
60,0.0,0.6666667
61,0.0,0.67777777
62,0.0,0.6888889
63,0.0,0.7
64,0.0,0.7111111
65,0.0,0.7222222
66,0.0,0.73333335
67,0.0,0.74444443
68,0.0,0.75555557
69,0.0,0.76666665
70,0.0,0.7777778
71,0.0,0.7888889
72,0.0,0.8
73,0.0,0.8111111
74,0.0,0.82222223
75,0.0,0.8333333
76,0.0,0.84444445
77,0.0,0.85555553
78,0.0,0.8666667
79,0.0,0.87777776
80,0.0,0.8888889
81,0.0,0.9
82,0.0,0.9111111
83,0.0,0.9222222
84,0.0,0.93333334
85,0.0,0.9444444
86,0.0,0.95555556
87,0.0,0.96666664
88,0.0,0.9777778
89,0.0,0.98888886
90,0.0013793104,0.0
91,0.0013793104,0.011111111
92,0.0013793104,0.022222223
93,0.0013793104,0.033333335
94,0.0013793104,0.044444446
95,0.0013793104,0.055555556
96,0.0013793104,0.06666667
97,0.0013793104,0.07777778
98,0.0013793104,0.08888889
99,0.0013793104,0.1
100,0.0013793104,0.11111111
101,0.0013793104,0.12222222
102,0.0013793104,0.13333334
103,0.0013793104,0.14444445
104,0.0013793104,0.15555556
105,0.0013793104,0.16666667
106,0.0013793104,0.17777778
107,0.0013793104,0.18888889
108,0.0013793104,0.2
109,0.0013793104,0.21111111
110,0.0013793104,0.22222222
111,0.0013793104,0.23333333
112,0.0013793104,0.24444444
113,0.0013793104,0.25555557
114,0.0013793104,0.26666668
115,0.0013793104,0.2777778
116,0.0013793104,0.2888889
117,0.0013793104,0.3
118,0.0013793104,0.31111112
119,0.0013793104,0.32222223
120,0.0013793104,0.33333334
121,0.0013793104,0.34444445
122,0.0013793104,0.35555556
123,0.0013793104,0.36666667
124,0.0013793104,0.37777779
125,0.0013793104,0.3888889
126,0.0013793104,0.4
127,0.0013793104,0.41111112
128,0.0013793104,0.42222223
129,0.0013793104,0.43333334
130,0.0013793104,0.44444445
131,0.0013793104,0.45555556
132,0.0013793104,0.46666667
133,0.0013793104,0.47777778
134,0.0013793104,0.4888889
135,0.0013793104,0.5
136,0.0013793104,0.51111114
137,0.0013793104,0.5222222
138,0.0013793104,0.53333336
139,0.0013793104,0.54444444
140,0.0013793104,0.5555556
141,0.0013793104,0.56666666
142,0.0013793104,0.5777778
143,0.0013793104,0.5888889
144,0.0013793104,0.6
145,0.0013793104,0.6111111
146,0.0013793104,0.62222224
147,0.0013793104,0.6333333
148,0.0013793104,0.64444447
149,0.0013793104,0.65555555
150,0.0013793104,0.6666667
151,0.0013793104,0.67777777
152,0.0013793104,0.6888889
153,0.0013793104,0.7
154,0.0013793104,0.7111111
155,0.0013793104,0.7222222
156,0.0013793104,0.73333335
157,0.0013793104,0.74444443
158,0.0013793104,0.75555557
159,0.0013793104,0.76666665
160,0.0013793104,0.7777778
161,0.0013793104,0.7888889
162,0.0013793104,0.8
163,0.0013793104,0.8111111
164,0.0013793104,0.82222223
165,0.0013793104,0.8333333
166,0.0013793104,0.84444445
167,0.0013793104,0.85555553
168,0.0013793104,0.8666667
169,0.0013793104,0.87777776
170,0.0013793104,0.8888889
171,0.0013793104,0.9
172,0.0013793104,0.9111111
173,0.0013793104,0.9222222
174,0.0013793104,0.93333334
175,0.0013793104,0.9444444
176,0.0013793104,0.95555556
177,0.0013793104,0.96666664
178,0.0013793104,0.9777778
179,0.0013793104,0.98888886
180,0.0027586208,0.0
181,0.0027586208,0.011111111
182,0.0027586208,0.022222223
183,0.0027586208,0.033333335
184,0.0027586208,0.044444446
185,0.0027586208,0.055555556
186,0.0027586208,0.06666667
187,0.0027586208,0.07777778
188,0.0027586208,0.08888889
189,0.0027586208,0.1
190,0.0027586208,0.11111111
191,0.0027586208,0.12222222
192,0.0027586208,0.13333334
193,0.0027586208,0.14444445
194,0.0027586208,0.15555556
195,0.0027586208,0.16666667
196,0.0027586208,0.17777778
197,0.0027586208,0.18888889
198,0.0027586208,0.2
199,0.0027586208,0.21111111
200,0.0027586208,0.22222222
201,0.0027586208,0.23333333
202,0.0027586208,0.24444444
203,0.0027586208,0.25555557
204,0.0027586208,0.26666668
205,0.0027586208,0.2777778
206,0.0027586208,0.2888889
207,0.0027586208,0.3
208,0.0027586208,0.31111112
209,0.0027586208,0.32222223
210,0.0027586208,0.33333334
211,0.0027586208,0.34444445
212,0.0027586208,0.35555556
213,0.0027586208,0.36666667
214,0.0027586208,0.37777779
215,0.0027586208,0.3888889
216,0.0027586208,0.4
217,0.0027586208,0.41111112
218,0.0027586208,0.42222223
219,0.0027586208,0.43333334
220,0.0027586208,0.44444445
