,0
0,0.4658009
1,0.67585796
2,0.26418203
3,0.2257634
4,0.48803833
5,0.050034426
6,0.26477304
7,0.47677478
8,0.0
9,0.0
10,0.30384445
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,1.5515594
17,0.0
18,1.0537367
19,0.28015748
20,0.17047022
21,0.36455244
22,0.0
23,0.38517115
24,0.0
25,0.32169262
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.32999104
35,0.0
36,0.0
37,0.0
38,0.36249217
39,0.0
40,0.9585084
41,0.39173672
42,0.15365566
43,0.0
44,0.09838425
45,0.19887768
46,0.48979202
47,0.751383
48,0.0
49,0.0
50,0.13055466
51,0.0
52,0.0
53,0.24062257
54,0.0
55,0.22771592
56,0.03386589
57,0.0
58,0.0
59,0.659087
60,0.10027871
61,0.0
62,0.29096547
63,0.0
64,0.59613603
65,0.36385378
66,0.040844545
67,0.34751245
68,0.0
69,0.54158354
70,0.03424769
71,0.0
72,0.7730897
73,0.0
74,1.1995057
75,0.10907706
76,0.19406267
77,0.7093217
78,0.31950897
79,0.0
80,0.0
81,1.014798
82,0.0
83,0.0
84,0.23360115
85,0.19580264
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.012541928
92,0.0
93,0.09149531
94,0.0
95,0.0
96,0.10459451
97,0.6756445
98,0.0
99,0.4159674
100,0.07029658
101,0.0
102,0.47231194
103,0.0
104,0.37451676
105,0.0
106,0.20280167
107,0.0
108,0.0
109,0.0
110,0.18795466
111,0.0051099523
112,0.017534366
113,0.4733339
114,0.049326215
115,0.5058283
116,0.0
117,0.0
118,0.7440154
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.36006516
125,0.09235127
126,0.0
127,0.45412993
128,0.0
129,0.4365192
130,0.0
131,0.0
132,0.23204663
133,0.29280165
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.13095365
143,0.0
144,0.31242785
145,0.0
146,0.65286607
147,0.79414487
148,0.26392302
149,0.50361586
150,0.0
151,0.0
152,0.52920306
153,0.003975991
154,0.0
155,0.0
156,0.0
157,0.5212806
158,0.0
159,0.0
160,0.0
161,1.1773655
162,0.573746
163,0.0
164,0.37267366
165,0.20726524
166,0.0
167,0.0
168,0.66666836
169,0.49614647
170,0.0
171,0.23350805
172,0.5351995
173,0.0
174,0.0
175,0.7715002
176,0.08594323
177,0.0
178,0.0
179,0.0
180,0.093429774
181,0.0
182,0.0
183,0.0
184,0.0
185,0.059826702
186,0.17877118
187,0.0
188,0.25114354
189,0.0
190,0.55821943
191,0.0
192,0.50264627
193,0.0
194,0.02273623
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.044235557
203,0.0
204,0.5172882
205,0.21924034
206,0.0
207,0.48439214
208,0.2503889
209,0.0
210,0.11183792
211,0.0
212,0.13098982
213,0.0
214,0.0
215,0.27296224
216,0.88916594
217,0.0
218,0.18987164
219,0.0
220,0.14384049
221,0.26134673
222,0.3011223
223,0.40977415
224,0.24482977
225,0.0
226,0.0
227,0.07026046
228,0.111075826
229,0.0
230,0.5740238
231,0.0
232,0.20929673
233,0.06921701
234,0.0073332293
235,0.27674443
236,0.6375797
237,0.0
238,0.3188295
239,0.89476436
240,0.0
241,0.14478205
242,0.46174556
243,0.0
244,0.0
245,0.0
246,0.6333969
247,0.0
248,0.5056249
249,0.3735973
250,0.43187135
251,0.06262575
252,0.3609863
253,0.0
254,0.0
255,0.0
256,0.5572215
257,0.0
258,0.453535
259,0.0
260,0.612986
261,0.0
262,0.0
263,0.7684215
264,0.0
265,0.011562642
266,0.0
267,0.27260205
268,0.0
269,0.0
270,0.44600052
271,0.0
272,0.0
273,0.39513433
274,0.0
275,0.26699477
276,0.0
277,0.3010882
278,0.112901546
279,0.6876004
280,0.7001021
281,0.13006157
282,0.0
283,0.5425938
284,0.0
285,0.14933847
286,0.19581765
287,0.11560375
288,0.308354
289,0.12573431
290,0.0
291,0.0
292,0.0
293,0.43857676
294,0.0
295,0.81646156
296,0.012056478
297,0.36438015
298,0.21713701
299,0.23800164
300,0.0
301,0.0
302,0.0
303,0.49284807
304,0.0
305,0.0
306,0.0
307,0.7989029
308,0.0
309,0.4864688
310,0.15852347
311,0.4554094
312,0.65308774
313,0.20671886
314,0.41385317
315,0.85438794
316,0.0
317,1.1280955
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.4375029
325,1.1293141
326,0.6828951
327,0.0
328,0.0
329,0.40621495
330,0.19015746
331,0.0
332,0.32233834
333,0.26631504
334,0.93914944
335,0.0
336,0.0
337,0.00014218375
338,0.0
339,0.007996788
340,0.15932252
341,0.5660953
342,0.0
343,0.0
344,0.011721918
345,0.018902007
346,0.0
347,1.1938459
348,0.09051021
349,0.2085745
350,0.0
351,0.0
352,0.0
353,0.4230614
354,0.28842315
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.06328993
361,0.16607086
362,0.0
363,0.7755753
364,0.07040718
365,0.0
366,0.0
367,0.0
368,0.0
369,0.6404077
370,0.0
371,0.03224285
372,0.35902935
373,0.0
374,0.0
375,0.23932742
376,0.787305
377,0.99962234
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.09488006
384,0.19312046
385,0.24548914
386,0.0
387,0.519603
388,0.0
389,0.0
390,0.5584449
391,0.0
392,0.07370542
393,0.0
394,0.0
395,0.5430953
396,0.14462756
397,0.22466972
398,0.00734146
399,0.0
400,0.0
401,0.0
402,0.051822897
403,0.0
404,0.07837797
405,0.0
406,0.21787292
407,0.0
408,0.5246123
409,0.56728715
410,0.0
411,0.44681084
412,0.0006781505
413,0.18905449
414,0.4231859
415,0.0
416,0.35892344
417,0.03738906
418,0.186731
419,0.0023937356
420,0.0
421,0.15742491
422,0.0
423,0.50726426
424,0.21818602
425,0.7241899
426,0.53179586
427,0.20089251
428,0.1993731
429,0.32592517
430,0.0
431,1.0907338
432,0.56510746
433,0.0
